Employee_ID,Stress_Level,Hours_Worked_Per_Week,Sleep_Quality,Social_Isolation_Rating,Work_Life_Balance_Rating,Productivity_Change,Emotional_Exhaustion,Depersonalization,Reduced_Personal_Accomplishment,Burnout_Score
EMP0001,Medium,47,Good,1,2,Decrease,0.3375,0.375,1.0,0.5708333333333333
EMP0002,Medium,52,Good,3,1,Increase,0.4,0.75,0.0,0.3833333333333333
EMP0003,Medium,46,Poor,4,5,No Change,0.8250000000000001,0.375,0.5,0.5666666666666668
EMP0004,High,32,Poor,3,4,Increase,0.65,0.375,0.0,0.3416666666666666
EMP0005,High,35,Average,3,2,Decrease,0.4375,0.625,1.0,0.6875
EMP0006,High,39,Average,5,4,Increase,0.48750000000000004,0.625,0.0,0.37083333333333335
EMP0007,Low,51,Poor,5,3,Decrease,0.8875000000000001,0.75,1.0,0.8791666666666668
EMP0008,Medium,54,Average,5,3,Decrease,0.675,0.75,1.0,0.8083333333333332
EMP0009,High,24,Poor,2,2,Decrease,0.55,0.5,1.0,0.6833333333333332
EMP0010,Low,57,Poor,2,1,Decrease,0.9625,0.625,1.0,0.8624999999999999
EMP0011,High,48,Average,4,3,Decrease,0.6000000000000001,0.625,1.0,0.7416666666666667
EMP0012,Medium,26,Poor,4,4,No Change,0.575,0.5,0.5,0.525
EMP0013,High,21,Good,2,2,Decrease,0.012500000000000011,0.5,1.0,0.5041666666666667
EMP0014,Low,45,Poor,2,1,Decrease,0.8125,0.625,1.0,0.8125
EMP0015,High,59,Average,5,3,Decrease,0.7375,0.75,1.0,0.8291666666666666
EMP0016,Low,44,Average,5,4,No Change,0.55,0.625,0.5,0.5583333333333333
EMP0017,Medium,52,Good,1,2,No Change,0.4,0.375,0.5,0.425
EMP0018,Low,37,Good,5,3,Decrease,0.21250000000000002,0.75,1.0,0.6541666666666667
EMP0019,High,36,Good,3,1,No Change,0.2,0.75,0.5,0.48333333333333334
EMP0020,Medium,59,Average,4,3,Decrease,0.7375,0.625,1.0,0.7875
EMP0021,Low,21,Poor,2,2,Increase,0.5125,0.5,0.0,0.33749999999999997
EMP0022,Medium,54,Poor,3,3,Decrease,0.925,0.5,1.0,0.8083333333333332
EMP0023,Low,57,Average,3,3,Increase,0.7125,0.5,0.0,0.4041666666666666
EMP0024,Low,22,Poor,2,5,No Change,0.525,0.125,0.5,0.3833333333333333
EMP0025,Low,54,Average,2,3,Increase,0.675,0.375,0.0,0.35000000000000003
EMP0026,High,21,Good,4,4,No Change,0.012500000000000011,0.5,0.5,0.33749999999999997
EMP0027,High,24,Poor,4,3,Decrease,0.55,0.625,1.0,0.725
EMP0028,Low,56,Poor,4,4,No Change,0.9500000000000001,0.5,0.5,0.65
EMP0029,High,33,Poor,4,3,Decrease,0.6625000000000001,0.625,1.0,0.7625000000000001
EMP0030,High,25,Poor,3,2,No Change,0.5625,0.625,0.5,0.5625
EMP0031,Low,20,Average,5,1,No Change,0.25,1.0,0.5,0.5833333333333334
EMP0032,Medium,33,Average,3,2,Decrease,0.41250000000000003,0.625,1.0,0.6791666666666667
EMP0033,Medium,20,Good,5,2,Decrease,0.0,0.875,1.0,0.625
EMP0034,Medium,26,Average,5,3,No Change,0.325,0.75,0.5,0.525
EMP0035,Medium,22,Average,1,4,No Change,0.275,0.125,0.5,0.3
EMP0036,Low,57,Poor,1,4,No Change,0.9625,0.125,0.5,0.5291666666666667
EMP0037,Low,30,Poor,5,1,Decrease,0.625,1.0,1.0,0.875
EMP0038,Low,47,Good,2,2,Increase,0.3375,0.5,0.0,0.2791666666666667
EMP0039,Low,48,Average,3,4,No Change,0.6000000000000001,0.375,0.5,0.4916666666666667
EMP0040,High,20,Poor,1,3,Increase,0.5,0.25,0.0,0.25
